Product Group,Category,Product Name,Brand,Manufacturer,Option Type 1,Option Value 1,Sale Price,Discount Base Price,Stock,Lead Time,Detailed Description,Main Image,Search Keywords,Quantity,Volume,Weight,Adult Only,Taxable,Parallel Import,Overseas Purchase,SKU,Model Number,Barcode,Additional Image 1,Additional Image 2,
Fresh Gel Toothpaste,,Colgate MaxFresh Watermelon Blast Gel Toothpaste – 100 g,Colgate,Colgate-Palmolive (India) Ltd.,,1 pieces,13890,15990,10,12,"Colgate MaxFresh Watermelon Blast Gel Toothpaste – 100 g

Gel Toothpaste | Watermelon Flavor | Colorful Gel Formula | Daily Oral Care

Colgate MaxFresh Watermelon Blast Gel Toothpaste is designed for everyday oral care routines. The smooth gel formula spreads easily on a toothbrush and provides a refreshing watermelon flavor during brushing.

The gel texture offers a comfortable brushing experience and helps leave the mouth feeling clean and fresh after use. The convenient 100 g tube is suitable for home use or travel and fits easily into daily oral hygiene routines.

? Key Features

Gel toothpaste for daily oral care

Refreshing watermelon flavor

Smooth gel texture for easy brushing

Convenient 100 g tube packaging

Suitable for regular oral care routines

?? Texture & Experience

Smooth gel toothpaste consistency

Watermelon flavor while brushing

Clean and refreshed mouth feel after use

?? How to Use

Apply a small amount of toothpaste to a toothbrush

Brush teeth gently for about 2 minutes

Rinse thoroughly with water

Use regularly as part of your daily oral care routine

?? Precautions

Do not swallow

Keep out of reach of children

Store in a cool and dry place

?? Product Details

Brand: Colgate

Product Name: Colgate MaxFresh Watermelon Blast Gel Toothpaste

Net Quantity: 100 g

Form: Gel Toothpaste

Category: Oral Care / Toothpaste",https://m.media-amazon.com/images/I/71uXjnp4ehL._SL1500_.jpg,"colgate maxfresh toothpaste, colgate watermelon toothpaste, watermelon gel toothpaste, toothpaste 100g, gel toothpaste watermelon, oral care toothpaste, daily toothpaste, mint gel toothpaste, dental care toothpaste, toothpaste tube 100g, oral hygiene toothpaste, brushing toothpaste, colgate oral care, gel toothpaste flavor, household toothpaste, fruit flavor toothpaste, dental hygiene toothpaste, toothpaste pack, colgate dental care, everyday toothpaste",1ea,,100g,N,Y,N,N,B0DMWHBVGT-1,B0DMWHBVGT-1,,https://m.media-amazon.com/images/I/71c1QkFkiDL._SL1500_.jpg,https://m.media-amazon.com/images/I/71zET612ZqL._SL1500_.jpg,
Fresh Gel Toothpaste,,Colgate MaxFresh Watermelon Blast Gel Toothpaste – 100 g,Colgate,Colgate-Palmolive (India) Ltd.,,2 pieces,17990,19950,10,12,"Colgate MaxFresh Watermelon Blast Gel Toothpaste – 100 g

Gel Toothpaste | Watermelon Flavor | Colorful Gel Formula | Daily Oral Care

Colgate MaxFresh Watermelon Blast Gel Toothpaste is designed for everyday oral care routines. The smooth gel formula spreads easily on a toothbrush and provides a refreshing watermelon flavor during brushing.

The gel texture offers a comfortable brushing experience and helps leave the mouth feeling clean and fresh after use. The convenient 100 g tube is suitable for home use or travel and fits easily into daily oral hygiene routines.

? Key Features

Gel toothpaste for daily oral care

Refreshing watermelon flavor

Smooth gel texture for easy brushing

Convenient 100 g tube packaging

Suitable for regular oral care routines

?? Texture & Experience

Smooth gel toothpaste consistency

Watermelon flavor while brushing

Clean and refreshed mouth feel after use

?? How to Use

Apply a small amount of toothpaste to a toothbrush

Brush teeth gently for about 2 minutes

Rinse thoroughly with water

Use regularly as part of your daily oral care routine

?? Precautions

Do not swallow

Keep out of reach of children

Store in a cool and dry place

?? Product Details

Brand: Colgate

Product Name: Colgate MaxFresh Watermelon Blast Gel Toothpaste

Net Quantity: 100 g

Form: Gel Toothpaste

Category: Oral Care / Toothpaste",https://m.media-amazon.com/images/I/71uXjnp4ehL._SL1500_.jpg,"colgate maxfresh toothpaste, colgate watermelon toothpaste, watermelon gel toothpaste, toothpaste 100g, gel toothpaste watermelon, oral care toothpaste, daily toothpaste, mint gel toothpaste, dental care toothpaste, toothpaste tube 100g, oral hygiene toothpaste, brushing toothpaste, colgate oral care, gel toothpaste flavor, household toothpaste, fruit flavor toothpaste, dental hygiene toothpaste, toothpaste pack, colgate dental care, everyday toothpaste",2ea,,100g,N,Y,N,N,B0DMWHBVGT-2,B0DMWHBVGT-2,,https://m.media-amazon.com/images/I/71c1QkFkiDL._SL1500_.jpg,https://m.media-amazon.com/images/I/71zET612ZqL._SL1500_.jpg,
Fresh Gel Toothpaste,,Colgate MaxFresh Watermelon Blast Gel Toothpaste – 100 g,Colgate,Colgate-Palmolive (India) Ltd.,,3 pieces,21690,25990,10,12,"Colgate MaxFresh Watermelon Blast Gel Toothpaste – 100 g

Gel Toothpaste | Watermelon Flavor | Colorful Gel Formula | Daily Oral Care

Colgate MaxFresh Watermelon Blast Gel Toothpaste is designed for everyday oral care routines. The smooth gel formula spreads easily on a toothbrush and provides a refreshing watermelon flavor during brushing.

The gel texture offers a comfortable brushing experience and helps leave the mouth feeling clean and fresh after use. The convenient 100 g tube is suitable for home use or travel and fits easily into daily oral hygiene routines.

? Key Features

Gel toothpaste for daily oral care

Refreshing watermelon flavor

Smooth gel texture for easy brushing

Convenient 100 g tube packaging

Suitable for regular oral care routines

?? Texture & Experience

Smooth gel toothpaste consistency

Watermelon flavor while brushing

Clean and refreshed mouth feel after use

?? How to Use

Apply a small amount of toothpaste to a toothbrush

Brush teeth gently for about 2 minutes

Rinse thoroughly with water

Use regularly as part of your daily oral care routine

?? Precautions

Do not swallow

Keep out of reach of children

Store in a cool and dry place

?? Product Details

Brand: Colgate

Product Name: Colgate MaxFresh Watermelon Blast Gel Toothpaste

Net Quantity: 100 g

Form: Gel Toothpaste

Category: Oral Care / Toothpaste",https://m.media-amazon.com/images/I/71uXjnp4ehL._SL1500_.jpg,"colgate maxfresh toothpaste, colgate watermelon toothpaste, watermelon gel toothpaste, toothpaste 100g, gel toothpaste watermelon, oral care toothpaste, daily toothpaste, mint gel toothpaste, dental care toothpaste, toothpaste tube 100g, oral hygiene toothpaste, brushing toothpaste, colgate oral care, gel toothpaste flavor, household toothpaste, fruit flavor toothpaste, dental hygiene toothpaste, toothpaste pack, colgate dental care, everyday toothpaste",3ea,,100g,N,Y,N,N,B0DMWHBVGT-3,B0DMWHBVGT-3,,https://m.media-amazon.com/images/I/71c1QkFkiDL._SL1500_.jpg,https://m.media-amazon.com/images/I/71zET612ZqL._SL1500_.jpg,
Fresh Gel Toothpaste,,Colgate MaxFresh Watermelon Blast Gel Toothpaste – 100 g,Colgate,Colgate-Palmolive (India) Ltd.,,4 pieces,24990,29990,10,12,"Colgate MaxFresh Watermelon Blast Gel Toothpaste – 100 g

Gel Toothpaste | Watermelon Flavor | Colorful Gel Formula | Daily Oral Care

Colgate MaxFresh Watermelon Blast Gel Toothpaste is designed for everyday oral care routines. The smooth gel formula spreads easily on a toothbrush and provides a refreshing watermelon flavor during brushing.

The gel texture offers a comfortable brushing experience and helps leave the mouth feeling clean and fresh after use. The convenient 100 g tube is suitable for home use or travel and fits easily into daily oral hygiene routines.

? Key Features

Gel toothpaste for daily oral care

Refreshing watermelon flavor

Smooth gel texture for easy brushing

Convenient 100 g tube packaging

Suitable for regular oral care routines

?? Texture & Experience

Smooth gel toothpaste consistency

Watermelon flavor while brushing

Clean and refreshed mouth feel after use

?? How to Use

Apply a small amount of toothpaste to a toothbrush

Brush teeth gently for about 2 minutes

Rinse thoroughly with water

Use regularly as part of your daily oral care routine

?? Precautions

Do not swallow

Keep out of reach of children

Store in a cool and dry place

?? Product Details

Brand: Colgate

Product Name: Colgate MaxFresh Watermelon Blast Gel Toothpaste

Net Quantity: 100 g

Form: Gel Toothpaste

Category: Oral Care / Toothpaste",https://m.media-amazon.com/images/I/71uXjnp4ehL._SL1500_.jpg,"colgate maxfresh toothpaste, colgate watermelon toothpaste, watermelon gel toothpaste, toothpaste 100g, gel toothpaste watermelon, oral care toothpaste, daily toothpaste, mint gel toothpaste, dental care toothpaste, toothpaste tube 100g, oral hygiene toothpaste, brushing toothpaste, colgate oral care, gel toothpaste flavor, household toothpaste, fruit flavor toothpaste, dental hygiene toothpaste, toothpaste pack, colgate dental care, everyday toothpaste",4ea,,100g,N,Y,N,N,B0DMWHBVGT-4,B0DMWHBVGT-4,,https://m.media-amazon.com/images/I/71c1QkFkiDL._SL1500_.jpg,https://m.media-amazon.com/images/I/71zET612ZqL._SL1500_.jpg,
Sweet Almond Oil,,"Dabur Badam Tail Sweet Almond Oil – 50 ml
",Dabur,Dabur India Ltd,,50ml,14590,18990,10,12,"Dabur Badam Tail Sweet Almond Oil – 50 ml

Almond Oil | Lightweight Oil Texture | Daily Hair & Skin Care | Multipurpose Beauty Oil

Dabur Badam Tail Sweet Almond Oil is a multipurpose beauty oil designed for everyday hair and skin care routines. The lightweight oil texture spreads easily and can be used as part of regular beauty care practices.

The oil can be applied during hair care or skin care routines and offers a smooth application experience. The compact 50 ml bottle makes it convenient for home use or travel.

? Key Features

Sweet almond oil for hair and skin care routines

Lightweight oil texture for easy application

Multipurpose beauty oil

Suitable for daily care routines

Convenient 50 ml bottle packaging

?? Texture & Feel

Smooth and lightweight oil consistency

Easy to apply on hair and skin

Leaves a soft and comfortable feel after use

?? How to Use

Take a small amount of oil in your palm

Gently massage onto hair or skin

Use regularly as part of your daily care routine

?? Precautions

For external use only

Avoid contact with eyes

Store in a cool, dry place

Keep out of reach of children

?? Product Details

Brand: Dabur

Product Name: Dabur Badam Tail Sweet Almond Oil

Net Quantity: 50 ml

Form: Oil

Category: Hair Care / Skin Care Oil",https://m.media-amazon.com/images/I/71XZDzrHjeL._SL1500_.jpg,"dabur badam tail oil, dabur almond oil, sweet almond oil, almond oil 50ml, hair care almond oil, skin care almond oil, multipurpose beauty oil, dabur hair oil, almond oil for hair, almond oil for skin, natural almond oil, beauty care oil, daily care almond oil, hair massage oil, skincare oil, dabur beauty oil, almond oil bottle 50ml, natural hair oil, herbal hair oil, almond beauty oil",1ea,50ml,,N,Y,N,N,B00LEKJGZU-1,B00LEKJGZU-1,,https://m.media-amazon.com/images/I/51xh5E6nEZL.jpg,https://m.media-amazon.com/images/I/51JVoWthHZL.jpg,
Sweet Almond Oil,,"Dabur Badam Tail Sweet Almond Oil – 50 ml
",Dabur,Dabur India Ltd,,50ml,26990,32990,10,12,"Dabur Badam Tail Sweet Almond Oil – 50 ml

Almond Oil | Lightweight Oil Texture | Daily Hair & Skin Care | Multipurpose Beauty Oil

Dabur Badam Tail Sweet Almond Oil is a multipurpose beauty oil designed for everyday hair and skin care routines. The lightweight oil texture spreads easily and can be used as part of regular beauty care practices.

The oil can be applied during hair care or skin care routines and offers a smooth application experience. The compact 50 ml bottle makes it convenient for home use or travel.

? Key Features

Sweet almond oil for hair and skin care routines

Lightweight oil texture for easy application

Multipurpose beauty oil

Suitable for daily care routines

Convenient 50 ml bottle packaging

?? Texture & Feel

Smooth and lightweight oil consistency

Easy to apply on hair and skin

Leaves a soft and comfortable feel after use

?? How to Use

Take a small amount of oil in your palm

Gently massage onto hair or skin

Use regularly as part of your daily care routine

?? Precautions

For external use only

Avoid contact with eyes

Store in a cool, dry place

Keep out of reach of children

?? Product Details

Brand: Dabur

Product Name: Dabur Badam Tail Sweet Almond Oil

Net Quantity: 50 ml

Form: Oil

Category: Hair Care / Skin Care Oil",https://m.media-amazon.com/images/I/71XZDzrHjeL._SL1500_.jpg,"dabur badam tail oil, dabur almond oil, sweet almond oil, almond oil 50ml, hair care almond oil, skin care almond oil, multipurpose beauty oil, dabur hair oil, almond oil for hair, almond oil for skin, natural almond oil, beauty care oil, daily care almond oil, hair massage oil, skincare oil, dabur beauty oil, almond oil bottle 50ml, natural hair oil, herbal hair oil, almond beauty oil",2ea,50ml,,N,Y,N,N,B00LEKJGZU-2,B00LEKJGZU-2,,https://m.media-amazon.com/images/I/51xh5E6nEZL.jpg,https://m.media-amazon.com/images/I/51JVoWthHZL.jpg,
Sweet Almond Oil,,"Dabur Badam Tail Sweet Almond Oil – 100 ml
",Dabur,Dabur India Ltd,,100ml,21490,26990,10,12,"Dabur Badam Tail Sweet Almond Oil – 100 ml

Almond Oil | Lightweight Oil Texture | Daily Hair & Skin Care | Multipurpose Beauty Oil

Dabur Badam Tail Sweet Almond Oil is a multipurpose beauty oil designed for everyday hair and skin care routines. The lightweight oil texture spreads easily and can be used as part of regular beauty care practices.

The oil can be applied during hair care or skin care routines and offers a smooth application experience. The compact 50 ml bottle makes it convenient for home use or travel.

? Key Features

Sweet almond oil for hair and skin care routines

Lightweight oil texture for easy application

Multipurpose beauty oil

Suitable for daily care routines

Convenient 50 ml bottle packaging

?? Texture & Feel

Smooth and lightweight oil consistency

Easy to apply on hair and skin

Leaves a soft and comfortable feel after use

?? How to Use

Take a small amount of oil in your palm

Gently massage onto hair or skin

Use regularly as part of your daily care routine

?? Precautions

For external use only

Avoid contact with eyes

Store in a cool, dry place

Keep out of reach of children

?? Product Details

Brand: Dabur

Product Name: Dabur Badam Tail Sweet Almond Oil

Net Quantity: 50 ml

Form: Oil

Category: Hair Care / Skin Care Oil",https://m.media-amazon.com/images/I/711R+Q-zLmS._SL1500_.jpg,"dabur badam tail oil, dabur almond oil, sweet almond oil, almond oil 50ml, hair care almond oil, skin care almond oil, multipurpose beauty oil, dabur hair oil, almond oil for hair, almond oil for skin, natural almond oil, beauty care oil, daily care almond oil, hair massage oil, skincare oil, dabur beauty oil, almond oil bottle 50ml, natural hair oil, herbal hair oil, almond beauty oil",1ea,100ml,,N,Y,N,N,B009SOS7ZE-1,B009SOS7ZE-1,,https://m.media-amazon.com/images/I/81gfGzuYEES._SL1500_.jpg,https://m.media-amazon.com/images/I/81bNEbD69IS._SL1500_.jpg,
Sweet Almond Oil,,"Dabur Badam Tail Sweet Almond Oil – 100 ml
",Dabur,Dabur India Ltd,,100ml,31990,35990,10,12,"Dabur Badam Tail Sweet Almond Oil – 100 ml

Almond Oil | Lightweight Oil Texture | Daily Hair & Skin Care | Multipurpose Beauty Oil

Dabur Badam Tail Sweet Almond Oil is a multipurpose beauty oil designed for everyday hair and skin care routines. The lightweight oil texture spreads easily and can be used as part of regular beauty care practices.

The oil can be applied during hair care or skin care routines and offers a smooth application experience. The compact 50 ml bottle makes it convenient for home use or travel.

? Key Features

Sweet almond oil for hair and skin care routines

Lightweight oil texture for easy application

Multipurpose beauty oil

Suitable for daily care routines

Convenient 50 ml bottle packaging

?? Texture & Feel

Smooth and lightweight oil consistency

Easy to apply on hair and skin

Leaves a soft and comfortable feel after use

?? How to Use

Take a small amount of oil in your palm

Gently massage onto hair or skin

Use regularly as part of your daily care routine

?? Precautions

For external use only

Avoid contact with eyes

Store in a cool, dry place

Keep out of reach of children

?? Product Details

Brand: Dabur

Product Name: Dabur Badam Tail Sweet Almond Oil

Net Quantity: 50 ml

Form: Oil

Category: Hair Care / Skin Care Oil",https://m.media-amazon.com/images/I/711R+Q-zLmS._SL1500_.jpg,"dabur badam tail oil, dabur almond oil, sweet almond oil, almond oil 50ml, hair care almond oil, skin care almond oil, multipurpose beauty oil, dabur hair oil, almond oil for hair, almond oil for skin, natural almond oil, beauty care oil, daily care almond oil, hair massage oil, skincare oil, dabur beauty oil, almond oil bottle 50ml, natural hair oil, herbal hair oil, almond beauty oil",2ea,100ml,,N,Y,N,N,B009SOS7ZE-2,B009SOS7ZE-2,,https://m.media-amazon.com/images/I/81gfGzuYEES._SL1500_.jpg,https://m.media-amazon.com/images/I/81bNEbD69IS._SL1500_.jpg,
Black Gel Toothpaste,,Dabur Herbl Activated Charcoal Toothpaste 120 g,Dabur,Dabur India Ltd,,1 pieces,12800,15990,10,12,"Dabur Herb’l Activated Charcoal Toothpaste – 120 g

Black Gel Toothpaste | Charcoal & Mint Inspired Formula | Daily Oral Care

Dabur Herb’l Activated Charcoal Toothpaste features a black gel formula inspired by charcoal and mint ingredients. The smooth gel spreads easily on a toothbrush and provides a refreshing flavor during brushing.

The gel texture offers a comfortable brushing experience and helps leave the mouth feeling clean and fresh after use. The convenient 120 g tube is suitable for regular home use and daily oral care routines.

? Key Features

Charcoal-inspired black gel toothpaste

Refreshing mint flavor experience

Smooth gel texture for easy brushing

Convenient 120 g tube packaging

Suitable for daily oral care routines

?? Texture & Experience

Smooth black gel toothpaste consistency

Mint flavor while brushing

Clean and refreshed mouth feel after use

?? How to Use

Apply a small amount of toothpaste to a toothbrush

Brush teeth gently for about 2 minutes

Rinse thoroughly with water

Use regularly as part of your daily oral care routine

?? Precautions

Do not swallow

Keep out of reach of children

Store in a cool and dry place

?? Product Details

Brand: Dabur

Product Name: Dabur Herb’l Activated Charcoal Toothpaste

Net Quantity: 120 g

Form: Gel Toothpaste

Category: Oral Care / Toothpaste
",https://m.media-amazon.com/images/I/71UbxXzGgGL._SL1500_.jpg,"dabur charcoal toothpaste, dabur herbal toothpaste, activated charcoal toothpaste, black gel toothpaste, charcoal mint toothpaste, toothpaste 120g, herbal gel toothpaste, oral care toothpaste, daily toothpaste, mint gel toothpaste, dental care toothpaste, toothpaste tube 120g, oral hygiene toothpaste, brushing toothpaste, dabur oral care, charcoal flavor toothpaste, household toothpaste, herbal dental care toothpaste, toothpaste pack, dabur dental care",1ea,,120g,N,Y,N,N,B09J7Y4P7M-1,B09J7Y4P7M-1,,https://m.media-amazon.com/images/I/81g3cRKDAcL._SL1500_.jpg,https://m.media-amazon.com/images/I/812VEbX-NAL._SL1500_.jpg,
Black Gel Toothpaste,,Dabur Herbl Activated Charcoal Toothpaste 120 g,Dabur,Dabur India Ltd,,2 pieces,16990,19990,10,12,"Dabur Herb’l Activated Charcoal Toothpaste – 120 g

Black Gel Toothpaste | Charcoal & Mint Inspired Formula | Daily Oral Care

Dabur Herb’l Activated Charcoal Toothpaste features a black gel formula inspired by charcoal and mint ingredients. The smooth gel spreads easily on a toothbrush and provides a refreshing flavor during brushing.

The gel texture offers a comfortable brushing experience and helps leave the mouth feeling clean and fresh after use. The convenient 120 g tube is suitable for regular home use and daily oral care routines.

? Key Features

Charcoal-inspired black gel toothpaste

Refreshing mint flavor experience

Smooth gel texture for easy brushing

Convenient 120 g tube packaging

Suitable for daily oral care routines

?? Texture & Experience

Smooth black gel toothpaste consistency

Mint flavor while brushing

Clean and refreshed mouth feel after use

?? How to Use

Apply a small amount of toothpaste to a toothbrush

Brush teeth gently for about 2 minutes

Rinse thoroughly with water

Use regularly as part of your daily oral care routine

?? Precautions

Do not swallow

Keep out of reach of children

Store in a cool and dry place

?? Product Details

Brand: Dabur

Product Name: Dabur Herb’l Activated Charcoal Toothpaste

Net Quantity: 120 g

Form: Gel Toothpaste

Category: Oral Care / Toothpaste
",https://m.media-amazon.com/images/I/713DgnhJC1L._SL1500_.jpg,"dabur charcoal toothpaste, dabur herbal toothpaste, activated charcoal toothpaste, black gel toothpaste, charcoal mint toothpaste, toothpaste 120g, herbal gel toothpaste, oral care toothpaste, daily toothpaste, mint gel toothpaste, dental care toothpaste, toothpaste tube 120g, oral hygiene toothpaste, brushing toothpaste, dabur oral care, charcoal flavor toothpaste, household toothpaste, herbal dental care toothpaste, toothpaste pack, dabur dental care",2ea,,120g,N,Y,N,N,B0BQC6B15R-1,B0BQC6B15R-1,,https://m.media-amazon.com/images/I/81g3cRKDAcL._SL1500_.jpg,https://m.media-amazon.com/images/I/812VEbX-NAL._SL1500_.jpg,
