Category,Product Name,Brand,Manufacturer,Sale Price,Discount Base Price,Stock,Lead Time,Detailed Description,Main Image,Search Keywords,Quantity,Volume,Weight,Adult Only,Taxable,Parallel Import,Overseas Purchase,SKU,Model Number,Barcode,Additional Image 1,Additional Image 2
,"mCaffeine Body Care Gift Set – Body Wash, Body Scrub & Body Butter",mCaffeine ,Reve Pharma,19990,25990,2,12,"mCaffeine Body Care Gift Set – Body Wash, Body Scrub & Body Butter

Body Care Kit | Coffee Inspired Fragrance | Daily Personal Care | Gift Set

mCaffeine Body Care Gift Set includes a selection of body care products designed for everyday personal care routines. The set features body wash, body scrub, and body butter that can be used together as part of a simple body care routine.

Each product offers a pleasant coffee-inspired fragrance and smooth texture suitable for regular use. The coordinated set provides a convenient way to include cleansing and body care products in a daily routine.

The gift-ready packaging makes this set suitable for personal use or for gifting on special occasions.

? Key Features

Body care gift set with three products

Includes body wash, body scrub, and body butter

Suitable for daily body care routines

Pleasant coffee-inspired fragrance

Gift-ready packaging

?? Product Experience

Body wash for daily cleansing

Body scrub with smooth texture

Body butter with soft and comfortable skin feel

?? How to Use

Use the body wash during bath or shower

Apply the body scrub gently on wet skin and rinse

Apply body butter to clean skin as part of your body care routine

?? Suitable For

Men & women

Personal body care routines

Gift occasions such as birthdays, celebrations, or special events

?? Precautions

For external use only

Avoid contact with eyes

Discontinue use if irritation occurs

Store in a cool, dry place

Keep out of reach of children

?? Product Details

Brand: mCaffeine

Product Name: Body Care Gift Set

Includes: Body Wash, Body Scrub, Body Butter

Category: Personal Care / Body Care Gift Set",RT,"body care gift set, body wash gift set, body scrub set, body butter gift set, coffee body care set, bath and body gift set, personal care gift set, body care kit, beauty gift set, body care bundle, fragrance body care set, skincare gift set, bath care kit, body care products set, beauty care kit, gift set for men and women, daily body care set, cosmetic gift set, body care hamper, body care package set",1,,75g,N,N,N,Y,B0C27HJBXV,B0C27HJBXV-1,,https://m.media-amazon.com/images/I/61PQws52iEL._SL1100_.jpg,https://m.media-amazon.com/images/I/61A-TVGIWmL._SL1100_.jpg
,"Himalaya Wellness Turmeric Skincare Kit – Face Wash, Face Pack & Serum (Pack of 3)",Himalaya ,Himalaya ,27890,49900,2,12,"Himalaya Wellness Turmeric Skincare Kit – Face Wash, Face Pack & Serum (Pack of 3)

Facial Care Set | Multi-Step Skincare Routine | Smooth Skin Feel | Everyday Use

Himalaya Turmeric Skincare Kit includes a selection of facial care products designed for everyday skincare routines. The kit contains a face wash, face pack, and serum that can be used together as part of a multi-step facial care routine.

Each product is designed for simple daily use. The smooth textures spread easily across the skin and provide a comfortable application experience during the routine.

The kit also includes a reusable jute bag, making it convenient for storage or travel.

? Key Features

Skincare kit with three facial care products

Includes face wash, face pack, and serum

Suitable for regular skincare routines

Smooth and easy-to-apply textures

Includes reusable jute bag

?? Kit Experience

Face wash for daily cleansing

Face pack for facial care routine

Serum for finishing skincare step

?? How to Use

Cleanse the face with the face wash

Apply the face pack evenly and rinse after a few minutes

Apply the serum gently to the face

Use as part of your skincare routine

?? Suitable For

Men & women

Regular skincare routines

Home facial routines

?? Precautions

For external use only

Avoid contact with eyes

If irritation occurs, discontinue use

Store in a cool and dry place

Keep out of reach of children

?? Product Details

Brand: Himalaya Wellness

Product Name: Turmeric Skincare Kit

Pack Size: Pack of 3

Includes: Face Wash (100 ml), Face Pack (100 g), Serum (30 ml)

Extra: Reusable Jute Bag

Category: Skin Care / Facial Kit",https://m.media-amazon.com/images/I/71-YcdOG39L._SL1200_.jpg,"skincare kit, turmeric skincare kit, facial care kit, face wash serum pack, facial skincare set, skincare routine kit, beauty care kit, face care bundle, skincare products set, facial kit pack, cosmetic skincare set, daily skincare kit, face care combo set, beauty routine kit, skincare bundle pack, facial care set, cosmetic care kit, face care routine set, skincare gift set, skincare product bundle",1,230ml,,N,N,N,Y,B0D7H3Q9LZ,B0D7H3Q9LZ-1,,https://m.media-amazon.com/images/I/61w0xR9oAoL._SL1200_.jpg,https://m.media-amazon.com/images/I/71GQShIEW5L._SL1200_.jpg
,"Himalaya Wellness Turmeric Face Care Set – Face Wash, Serum & Face Cream",Himalaya ,Himalaya ,29890,49900,2,12,"Himalaya Wellness Turmeric Face Care Set – Face Wash, Serum & Face Cream

Facial Care Set | Multi-Step Skincare Routine | Smooth Skin Feel | Everyday Use

Himalaya Turmeric Face Care Set includes a selection of facial care products designed for everyday skincare routines. The set contains a face wash, serum, and face cream that can be used together as part of a simple multi-step facial care routine.

Each product features smooth textures that spread easily across the skin and provide a comfortable application during the routine. The coordinated set allows you to include cleansing and facial care steps in one convenient kit.

The compact packaging makes this set suitable for regular home use and easy storage.

? Key Features

Skincare set with three facial care products

Includes face wash, serum, and face cream

Suitable for daily skincare routines

Smooth and easy-to-apply textures

Convenient kit packaging

?? Kit Experience

Face wash for daily cleansing

Serum for facial care routine

Face cream for finishing skincare step

?? How to Use

Cleanse the face with the face wash

Apply a small amount of serum and spread evenly

Apply the face cream gently across the face

Use regularly as part of your skincare routine

?? Suitable For

Men & women

Regular facial care routines

Everyday skincare use

?? Precautions

For external use only

Avoid contact with eyes

If irritation occurs, discontinue use

Store in a cool and dry place

Keep out of reach of children

?? Product Details

Brand: Himalaya Wellness

Product Name: Turmeric Face Care Set

Includes: Face Wash (100 ml), Serum (15 ml), Face Cream (50 g)

Form: Skincare Kit

Category: Skin Care / Facial Kit",https://m.media-amazon.com/images/I/61c3MKAI-YL._SL1280_.jpg,"skincare kit, turmeric skincare set, face care kit, facial skincare routine set, face wash serum cream set, skincare bundle pack, beauty care kit, facial care combo, skincare products set, daily skincare kit, face care routine kit, cosmetic skincare set, facial kit pack, skincare routine bundle, beauty skincare kit, face care combo pack, facial care set, cosmetic care kit, skincare product bundle, face care skincare set",1,165ml,,N,N,N,Y,B0FSL9HGXS,B0FSL9HGXS-1,,https://m.media-amazon.com/images/I/61twmn6xmLL._SL1000_.jpg,https://m.media-amazon.com/images/I/61k6GsZn-7L._SL1000_.jpg
,"Himalaya Wellness Neem Face Care Set – Face Wash, Serum & Moisturizing Gel",Himalaya ,Himalaya ,28990,49900,2,12,"Himalaya Wellness Neem Face Care Set – Face Wash, Serum & Moisturizing Gel

Facial Care Kit | Multi-Step Skincare Routine | Smooth Skin Feel | Everyday Use

Himalaya Neem Face Care Set includes a collection of facial care products designed for everyday skincare routines. The set contains a face wash, serum, and moisturizing gel that can be used together as part of a simple multi-step facial care routine.

Each product features smooth textures that spread easily across the skin and provide a comfortable application experience. The coordinated set allows you to include cleansing and facial care steps in one convenient kit.

The compact packaging makes the set suitable for regular home use and easy storage.

? Key Features

Skincare kit with three facial care products

Includes face wash, serum, and moisturizing gel

Suitable for daily skincare routines

Smooth and easy-to-apply textures

Convenient kit packaging

?? Kit Experience

Face wash for daily cleansing

Serum for facial care routine

Moisturizing gel for finishing skincare step

?? How to Use

Cleanse the face with the face wash

Apply a small amount of serum and spread evenly

Apply the moisturizing gel gently across the face

Use regularly as part of your skincare routine

?? Suitable For

Men & women

Regular facial care routines

Everyday skincare use

?? Precautions

For external use only

Avoid contact with eyes

If irritation occurs, discontinue use

Store in a cool and dry place

Keep out of reach of children

?? Product Details

Brand: Himalaya Wellness

Product Name: Neem Face Care Set

Includes: Face Wash (150 ml), Serum (30 ml), Moisturizing Gel (100 g)

Form: Skincare Kit

Category: Skin Care / Facial Kit",https://m.media-amazon.com/images/I/71p2SSOgd8L._SL1500_.jpg,"skincare kit, neem skincare set, face care kit, facial skincare routine set, face wash serum gel set, skincare bundle pack, beauty care kit, facial care combo, skincare products set, daily skincare kit, face care routine kit, cosmetic skincare set, facial kit pack, skincare routine bundle, beauty skincare kit, face care combo pack, facial care set, cosmetic care kit, skincare product bundle, face care skincare set",1,280ml,,N,N,N,Y,B0FSLG7CDJ,B0FSLG7CDJ-1,,https://m.media-amazon.com/images/I/61xhIOdGBmL.jpg,https://m.media-amazon.com/images/I/81WkfwoD2YL._SL1500_.jpg
,"Pilgrim Skincare Essentials Combo Kit – Face Wash, Toner, Face Cream & Serum",Pilgrim,Naturis for Pilgrim India,42450,49990,2,12,"Pilgrim Skincare Essentials Combo Kit – Face Wash, Toner, Face Cream & Serum

Facial Care Set | Multi-Step Skincare Routine | Daily Skin Care Kit | Pack of 4

Pilgrim Skincare Essentials Combo Kit includes a selection of facial care products designed for use as part of a regular skincare routine. The set contains a face wash, toner, face cream, and serum that can be used together as a simple multi-step skincare routine.

Each product features smooth textures that spread easily across the skin and provide a comfortable application experience. The coordinated set allows cleansing and facial care steps to be included in one convenient kit.

The compact packaging makes the set suitable for regular home use and easy storage.

? Key Features

Skincare combo kit with four facial care products

Includes face wash, toner, serum, and face cream

Suitable for everyday skincare routines

Smooth and easy-to-apply textures

Convenient combo packaging

?? Combo Experience

Face wash for daily cleansing

Toner for facial care routine step

Serum for skincare routine

Face cream for finishing skincare step

?? How to Use

Cleanse the face with the face wash

Apply toner evenly across the face

Apply a small amount of serum

Finish with the face cream as part of your skincare routine

?? Suitable For

Men & women

Regular facial care routines

Everyday skincare use

?? Precautions

For external use only

Avoid contact with eyes

If irritation occurs, discontinue use

Store in a cool and dry place

Keep out of reach of children

?? Product Details

Brand: Pilgrim

Product Name: Skincare Essentials Combo Kit

Pack Size: Set of 4

Includes: Face Wash (100 ml), Toner (100 ml), Face Cream (100 g), Serum (30 ml)

Category: Skin Care / Skincare Kit",https://m.media-amazon.com/images/I/81RxF6wmpKL._SL1500_.jpg,"skincare kit, skincare combo set, face care kit, skincare routine set, face wash toner cream set, skincare bundle pack, beauty care kit, facial care combo, skincare products set, daily skincare kit, face care routine kit, cosmetic skincare set, facial kit pack, skincare routine bundle, beauty skincare kit, face care combo pack, facial care set, cosmetic care kit, skincare product bundle, face care skincare set",1,330ml,,N,N,N,Y,B09H2GH11V,B09H2GH11V-1,,,
,"Colgate Visible White O2 Toothbrush - 2pcs
",Colgate,Colgate,12990,18990,2,12,"REVOLUTIONARY TEETH WHITENING: Discover gentle teeth whitening like never before with Colgate’s Visible White O2 Toothbrush
GENTLE BRUSHING: Experience a unique brushing sensation with the specially designed Colgate toothbrush with spiral bristles that help whiten teeth
DISCOVER A WHITER SMILE: The Colgate Visible White O2 Toothbrush helps remove extrinsic stains so you can flaunt a whiter smile
ULTRA-SOFT BRISTLES: This Colgate toothbrush takes softness to the next level with 137% more ultra-soft slimmer tip bristles, which are gentle on your enamel teeth and gums.
EASY TO HOLD: Colgate Visible White O2 Toothbrush is designed to be comfortable. The ergonomic grip is made for an effortless brushing experience",https://m.media-amazon.com/images/I/61Ws+mpMW2L._SL1000_.jpg,"colgate toothbrush, colgate 360 toothbrush, manual toothbrush, adult toothbrush, soft bristle toothbrush, toothbrush pack of 3, oral care toothbrush, daily toothbrush, colgate oral care toothbrush, household toothbrush pack, toothbrush multipack, dental care toothbrush, brushing toothbrush, toothbrush family pack, colgate dental care brush, soft toothbrush pack, multicolor toothbrush pack, manual brushing toothbrush, toothbrush for adults, oral hygiene toothbrush",1,,2pcs,N,N,N,Y,B0B254G5L6,B0B254G5L6-1,,https://m.media-amazon.com/images/I/519Rg5N8GIL._SL1200_.jpg,https://m.media-amazon.com/images/I/51jtG5J8ovL._SL1200_.jpg
,Colgate Ultra Soft Bristle Manual Toothbrush – Pack of 4,Colgate,Colgate,15990,18990,2,12,"Colgate Ultra Soft Bristle Manual Toothbrush – Pack of 4

Manual Toothbrush for Adults | Ultra Soft Bristles | Comfortable Grip | Multicolor Pack

Colgate Ultra Soft Bristle Manual Toothbrush is designed for everyday oral care routines. The toothbrush features soft bristles that help provide a comfortable brushing experience.

The brush head is designed for easy movement around teeth and along the gum line during brushing. The handle offers a comfortable grip that allows better control while brushing.

This pack includes four toothbrushes in assorted colors, making it suitable for household use or family oral care routines.

? Key Features

Manual toothbrush for daily oral care

Ultra soft bristles for comfortable brushing

Easy-to-hold handle design

Suitable for adults

Pack of 4 toothbrushes in assorted colors

?? Brush Experience

Soft bristle texture

Comfortable brushing feel

Easy control while brushing

?? How to Use

Apply toothpaste to the toothbrush

Brush teeth gently in circular motions

Brush for about 2 minutes

Rinse the toothbrush after use

?? Precautions

Replace toothbrush regularly

Do not use if bristles are damaged

Keep out of reach of young children

?? Product Details

Brand: Colgate

Product Name: Ultra Soft Bristle Manual Toothbrush

Quantity: Pack of 4

Type: Manual Toothbrush

Category: Oral Care / Toothbrush",https://m.media-amazon.com/images/I/61FXHfWMYML._SL1000_.jpg,"colgate toothbrush, colgate soft toothbrush, manual toothbrush, ultra soft toothbrush, adult toothbrush, toothbrush pack of 4, soft bristle toothbrush, toothbrush multipack, oral care toothbrush, daily toothbrush, toothbrush for adults, colgate oral care toothbrush, household toothbrush pack, toothbrush multicolor pack, soft bristle manual toothbrush, dental care toothbrush, toothbrush family pack, brushing toothbrush, colgate dental care brush, soft toothbrush pack",1,,4pcs,N,N,N,Y,B08G5GPXHR,B08G5GPXHR-1,,https://m.media-amazon.com/images/I/519YjOYGxTL._SL1000_.jpg,https://m.media-amazon.com/images/I/51cz3i-QvYL._SL1000_.jpg
,Colgate Ultra Soft Manual Toothbrush – 1 Pc,Colgate,Colgate,11590,15990,2,12,"Colgate Ultra Soft Manual Toothbrush – 1 Pc

Manual Toothbrush for Adults | Ultra Soft Bristles | Comfortable Grip | Multicolor

Colgate Ultra Soft Manual Toothbrush is designed for everyday oral care routines. The toothbrush features soft bristles that provide a comfortable brushing experience while helping clean the surface of teeth during brushing.

The brush head allows easy movement around teeth, and the handle offers a comfortable grip for better control while brushing. The toothbrush is suitable for regular use as part of a daily oral hygiene routine.

The compact single-pack design makes it convenient for personal use or travel.

? Key Features

Manual toothbrush for daily oral care

Ultra soft bristles for comfortable brushing

Easy-to-hold handle design

Suitable for adults

Multicolor design

?? Brush Experience

Soft bristle texture

Comfortable brushing feel

Easy control while brushing

?? How to Use

Apply toothpaste to the toothbrush

Brush teeth gently in circular motions

Brush for about 2 minutes

Rinse the toothbrush after use

?? Precautions

Replace toothbrush regularly

Do not use if bristles are damaged

Keep out of reach of young children

?? Product Details

Brand: Colgate

Product Name: Ultra Soft Manual Toothbrush

Quantity: 1 Pc

Type: Manual Toothbrush

Category: Oral Care / Toothbrush",https://m.media-amazon.com/images/I/61XwUzjfVCL._SL1500_.jpg,"colgate toothbrush, colgate ultra soft toothbrush, manual toothbrush, adult toothbrush, soft bristle toothbrush, toothbrush single pack, oral care toothbrush, daily toothbrush, colgate oral care toothbrush, household toothbrush, dental care toothbrush, brushing toothbrush, colgate dental care brush, soft toothbrush pack, manual brushing toothbrush, toothbrush for adults, oral hygiene toothbrush, multicolor toothbrush, soft bristle manual toothbrush, everyday toothbrush",1,,1pcs,N,N,N,Y,B0CVXJD3JJ,B0CVXJD3JJ-1,,https://m.media-amazon.com/images/I/71Q7Qp0a38L._SL1500_.jpg,https://m.media-amazon.com/images/I/71WCfrbTqmL._SL1500_.jpg
,Dabur Gulabari Rose Care Kit – 4 Piece Gift Set,Dabur,Dabur India Ltd,28990,35990,2,12,"Dabur Gulabari Rose Care Kit – 4 Piece Gift Set

Rose Skincare Set | Face & Body Care Kit | Floral Fragrance | Daily Skincare Routine

Dabur Gulabari Rose Care Kit is a complete face and body care set designed for everyday skincare routines. Inspired by rose extracts and floral fragrance, the products provide a refreshing skincare experience.

This kit includes a combination of facial and body care products that can be used as part of a simple daily routine. The products feature smooth textures that spread easily on the skin and leave a fresh and comfortable feel after use.

The set packaging makes it suitable for personal use or as a gift for special occasions.

? Key Features

4-piece rose skincare gift set

Face and body care routine kit

Inspired by rose extracts and floral fragrance

Suitable for everyday skincare routines

Convenient gift pack packaging

?? Kit Includes

Rose Water

Face Cleanser

Body Lotion

Shower Gel

?? Texture & Feel

Lightweight skincare textures

Gentle cleansing and moisturizing experience

Leaves skin feeling fresh and comfortable

?? How to Use

Cleanse the face using the face cleanser

Apply rose water as part of the skincare routine

Use the body lotion on clean skin

Apply the shower gel during bathing

?? Precautions

For external use only

Avoid contact with eyes

Store in a cool, dry place

Keep out of reach of children

?? Product Details

Brand: Dabur

Product Name: Dabur Gulabari Rose Care Kit

Pack Type: 4 Piece Skincare Set

Category: Skin Care / Gift Set",https://m.media-amazon.com/images/I/61KI7-EfhcL._SL1050_.jpg,"dabur gulabari kit, dabur rose skincare kit, rose care gift set, dabur skincare set, rose face care kit, body care gift set, skincare routine kit, rose beauty set, dabur rose water kit, floral skincare kit, rose fragrance skincare, skincare combo pack, dabur beauty kit, daily skincare set, rose body care kit, skincare gift pack, face and body care set, dabur rose care set, beauty gift set, skincare kit for women",1,660ml,,N,N,N,Y,B0G13S6DGB,B0G13S6DGB-1,,https://m.media-amazon.com/images/I/61Gu8cPwexL._SL1050_.jpg,https://m.media-amazon.com/images/I/71DMJ4RAfhL._SL1500_.jpg
,"DABUR Giloy Tablets | Immunity Booster | Blood Purifier 80 Tabs
",Dabur,Dabur India Ltd,15990,25990,2,12,"Dabur Giloy Tablets – 60 Tablets + 20 Tablets Free

Herbal Tablets | Ayurvedic Herbal Supplement | Daily Wellness Routine

Dabur Giloy Tablets are an Ayurvedic herbal supplement made from giloy extract, a plant traditionally used in herbal preparations. The tablet form makes it convenient to include in daily wellness routines.

The pack includes 60 tablets with an additional 20 tablets free, making it suitable for regular household use. The tablets can be taken according to the instructions mentioned on the product packaging.

? Key Features

Ayurvedic herbal tablet supplement

Made with giloy herbal extract

Convenient tablet form

Suitable for daily wellness routines

Pack includes 60 tablets + 20 tablets free

?? Form & Use

Tablet form for easy consumption

Suitable for daily dietary routines

Convenient packaging for regular use

?? How to Use

Take the recommended number of tablets as directed on the packaging

Consume with water

Follow the usage instructions provided on the product label

?? Precautions

Store in a cool and dry place

Keep the container tightly closed after use

Keep out of reach of children

?? Product Details

Brand: Dabur

Product Name: Dabur Giloy Tablets

Net Quantity: 60 Tablets + 20 Tablets Free

Form: Herbal Tablets

Category: Herbal Supplement / Ayurvedic Product

?? 20 Coupang-Safe SEO Keywords (Comma-Separated)

dabur giloy tablets, giloy herbal tablets, ayurvedic herbal tablets, dabur herbal supplement, giloy tablets pack, herbal tablet supplement, giloy extract tablets, ayurvedic supplement tablets, dabur ayurvedic tablets, herbal wellness tablets, giloy tablet pack, herbal dietary supplement tablets, natural herbal tablets, ayurvedic herbal product, dabur giloy supplement, giloy tablets 60 pack, herbal tablets for daily use, ayurvedic wellness tablets, giloy herbal supplement, dabur herbal tablets",https://m.media-amazon.com/images/I/81kllBq0LZL._SL1500_.jpg,"dabur giloy tablets, giloy herbal tablets, ayurvedic herbal tablets, dabur herbal supplement, giloy tablets pack, herbal tablet supplement, giloy extract tablets, ayurvedic supplement tablets, dabur ayurvedic tablets, herbal wellness tablets, giloy tablet pack, herbal dietary supplement tablets, natural herbal tablets, ayurvedic herbal product, dabur giloy supplement, giloy tablets 60 pack, herbal tablets for daily use, ayurvedic wellness tablets, giloy herbal supplement, dabur herbal tablets",1,80 Tablet,,N,N,N,Y,B08D3VF6KV,B08D3VF6KV-1,,https://m.media-amazon.com/images/I/81GWyjlYB4L._SL1500_.jpg,https://m.media-amazon.com/images/I/81TArUThuzL._SL1500_.jpg
